216
6.928223	6.928223	6.928223	
0.000000	0.000000	0.000000	-0.733239	0.564983	-0.118536	0.359311	
0.000000	1.154704	1.154704	-0.205231	0.376768	-0.891314	0.146578	
1.154704	0.000000	1.154704	0.317033	-0.629232	-0.652541	-0.278831	
1.154704	1.154704	0.000000	0.629061	0.240543	0.676386	0.298201	
1.732056	1.732056	1.732056	-0.448036	0.105859	-0.574679	0.676610	
1.732056	0.577352	0.577352	0.497881	0.605628	-0.176207	-0.595215	
0.577352	1.732056	0.577352	0.274660	0.659217	0.645732	-0.270232	
0.577352	0.577352	1.732056	0.094231	0.432308	0.699715	0.560919	
0.000000	0.000000	2.309408	0.754253	0.347466	0.467617	-0.302828	
0.000000	1.154704	3.464111	0.239836	-0.339641	0.902989	-0.108323	
1.154704	0.000000	3.464111	0.404598	0.258700	0.082438	0.873258	
1.154704	1.154704	2.309408	-0.239213	0.829785	-0.205062	-0.460635	
1.732056	1.732056	4.041463	0.679851	-0.251164	0.302690	0.618949	
1.732056	0.577352	2.886759	-0.431164	-0.252270	0.814584	-0.294804	
0.577352	1.732056	2.886759	-0.665989	0.285860	-0.634488	0.268639	
0.577352	0.577352	4.041463	-0.570775	0.702549	0.414165	-0.095436	
0.000000	0.000000	4.618815	0.158976	-0.581166	0.344477	-0.719937	
0.000000	1.154704	5.773519	-0.297091	0.647430	-0.637141	-0.294317	
1.154704	0.000000	5.773519	-0.250793	0.623577	-0.316744	0.669275	
1.154704	1.154704	4.618815	-0.084720	0.446400	-0.684243	0.570404	
1.732056	1.732056	6.350871	-0.674781	0.330988	0.618038	-0.230536	
1.732056	0.577352	5.196167	-0.342310	-0.744533	0.441157	-0.365890	
0.577352	1.732056	5.196167	-0.140031	0.885287	0.375215	-0.236371	
0.577352	0.577352	6.350871	0.364314	-0.210668	0.114958	-0.899821	
0.000000	2.309408	0.000000	0.302956	-0.802020	0.221839	0.464509	
0.000000	3.464111	1.154704	-0.647365	-0.303664	-0.639313	-0.282817	
1.154704	2.309408	1.154704	0.312040	-0.667890	-0.251275	0.627228	
1.154704	3.464111	0.000000	0.394275	0.259802	0.064558	0.879138	
1.732056	4.041463	1.732056	0.424683	0.312157	-0.800603	0.285020	
1.732056	2.886759	0.577352	0.614177	-0.241225	0.674533	-0.331062	
0.577352	4.041463	0.577352	0.928935	0.096362	0.184205	0.306371	
0.577352	2.886759	1.732056	-0.453672	-0.212684	-0.792227	0.348315	
0.000000	2.309408	2.309408	0.454266	0.110078	0.353427	0.810318	
0.000000	3.464111	3.464111	0.127779	0.897478	-0.358557	-0.222805	
1.154704	2.309408	3.464111	0.181596	0.462865	-0.337587	0.799258	
1.154704	3.464111	2.309408	0.381349	0.243318	-0.100873	-0.886112	
1.732056	4.041463	4.041463	-0.352216	0.223043	-0.167090	0.893463	
1.732056	2.886759	2.886759	-0.771484	-0.346423	0.174738	-0.504252	
0.577352	4.041463	2.886759	-0.164006	0.891455	-0.362249	0.217222	
0.577352	2.886759	4.041463	0.552302	-0.721155	0.404473	-0.106299	
0.000000	2.309408	4.618815	-0.893416	0.159664	-0.211227	0.362904	
0.000000	3.464111	5.773519	0.010570	-0.010074	0.368827	0.929383	
1.154704	2.309408	5.773519	-0.879622	-0.021903	0.170708	-0.443446	
1.154704	3.464111	4.618815	-0.194939	-0.939674	-0.244586	-0.138528	
1.732056	4.041463	6.350871	0.319507	0.500343	0.757720	-0.270983	
1.732056	2.886759	5.196167	0.698685	0.549476	-0.124739	-0.440857	
0.577352	4.041463	5.196167	-0.912620	-0.402165	0.044379	0.058466	
0.577352	2.886759	6.350871	0.417570	-0.080626	-0.585787	0.689919	
0.000000	4.618815	0.000000	0.207944	-0.351814	0.901480	-0.142548	
0.000000	5.773519	1.154704	-0.265242	0.643284	0.281161	-0.660894	
1.154704	4.618815	1.154704	0.336895	-0.799319	-0.193004	-0.458629	
1.154704	5.773519	0.000000	0.358393	-0.774200	0.205539	0.479503	
1.732056	6.350871	1.732056	-0.718577	-0.533555	0.103084	0.433981	
1.732056	5.196167	0.577352	0.633522	-0.272833	-0.274170	-0.670106	
0.577352	6.350871	0.577352	0.171210	-0.486414	-0.347870	-0.782991	
0.577352	5.196167	1.732056	0.853090	0.153507	-0.328241	-0.375408	
0.000000	4.618815	2.309408	-0.332600	-0.240675	0.114719	0.904595	
0.000000	5.773519	3.464111	0.345614	0.236793	-0.064698	-0.905701	
1.154704	4.618815	3.464111	-0.249061	0.407510	0.874734	-0.082125	
1.154704	5.773519	2.309408	-0.232512	-0.423671	0.330107	-0.810846	
1.732056	6.350871	4.041463	0.518092	-0.749227	-0.398338	0.107545	
1.732056	5.196167	2.886759	0.680614	-0.261598	0.277259	0.625666	
0.577352	6.350871	2.886759	0.597937	-0.249738	-0.621121	0.440807	
0.577352	5.196167	4.041463	-0.263795	-0.634265	-0.676349	0.265844	
0.000000	4.618815	4.618815	-0.062865	-0.012122	-0.376960	-0.924014	
0.000000	5.773519	5.773519	0.394340	0.257029	-0.101493	-0.876431	
1.154704	4.618815	5.773519	-0.395471	-0.267470	0.047415	0.877391	
1.154704	5.773519	4.618815	-0.090002	-0.433079	-0.481262	0.756789	
1.732056	6.350871	6.350871	0.393794	-0.054923	-0.578083	0.712552	
