36
0.000000	4.200000
0.000000	4.503332
0.000000	2.939388
0.500000	0.500000	0.500000	1.000000
1.100000	0.846410	1.479796	1.000000
0.500000	0.500000	2.459592	1.000000
1.100000	1.539230	0.500000	1.000000
0.500000	1.885641	1.479796	1.000000
1.100000	1.539230	2.459592	1.000000
0.500000	2.578461	0.500000	1.000000
1.100000	2.924871	1.479796	1.000000
0.500000	2.578461	2.459592	1.000000
1.100000	3.617691	0.500000	1.000000
0.500000	3.964102	1.479796	1.000000
1.100000	3.617691	2.459592	1.000000
1.700000	0.500000	0.500000	1.000000
2.300000	0.846410	1.479796	1.000000
1.700000	0.500000	2.459592	1.000000
2.300000	1.539230	0.500000	1.000000
1.700000	1.885641	1.479796	1.000000
2.300000	1.539230	2.459592	1.000000
1.700000	2.578461	0.500000	1.000000
2.300000	2.924871	1.479796	1.000000
1.700000	2.578461	2.459592	1.000000
2.300000	3.617691	0.500000	1.000000
1.700000	3.964102	1.479796	1.000000
2.300000	3.617691	2.459592	1.000000
2.900000	0.500000	0.500000	1.000000
3.500000	0.846410	1.479796	1.000000
2.900000	0.500000	2.459592	1.000000
3.500000	1.539230	0.500000	1.000000
2.900000	1.885641	1.479796	1.000000
3.500000	1.539230	2.459592	1.000000
2.900000	2.578461	0.500000	1.000000
3.500000	2.924871	1.479796	1.000000
2.900000	2.578461	2.459592	1.000000
3.500000	3.617691	0.500000	1.000000
2.900000	3.964102	1.479796	1.000000
3.500000	3.617691	2.459592	1.000000
