392
0.000000	9.450000
0.000000	9.093267
0.000000	7.201500
0.500000	0.500000	0.500000	1.000000
1.130000	0.863731	1.528786	1.000000
0.500000	0.500000	2.557571	1.000000
1.130000	0.863731	3.586357	1.000000
0.500000	0.500000	4.615143	1.000000
1.130000	0.863731	5.643928	1.000000
0.500000	0.500000	6.672714	1.000000
1.130000	1.591192	0.500000	1.000000
0.500000	1.954923	1.528786	1.000000
1.130000	1.591192	2.557571	1.000000
0.500000	1.954923	3.586357	1.000000
1.130000	1.591192	4.615143	1.000000
0.500000	1.954923	5.643928	1.000000
1.130000	1.591192	6.672714	1.000000
0.500000	2.682384	0.500000	1.000000
1.130000	3.046115	1.528786	1.000000
0.500000	2.682384	2.557571	1.000000
1.130000	3.046115	3.586357	1.000000
0.500000	2.682384	4.615143	1.000000
1.130000	3.046115	5.643928	1.000000
0.500000	2.682384	6.672714	1.000000
1.130000	3.773576	0.500000	1.000000
0.500000	4.137307	1.528786	1.000000
1.130000	3.773576	2.557571	1.000000
0.500000	4.137307	3.586357	1.000000
1.130000	3.773576	4.615143	1.000000
0.500000	4.137307	5.643928	1.000000
1.130000	3.773576	6.672714	1.000000
0.500000	4.864768	0.500000	1.000000
1.130000	5.228499	1.528786	1.000000
0.500000	4.864768	2.557571	1.000000
1.130000	5.228499	3.586357	1.000000
0.500000	4.864768	4.615143	1.000000
1.130000	5.228499	5.643928	1.000000
0.500000	4.864768	6.672714	1.000000
1.130000	5.955960	0.500000	1.000000
0.500000	6.319691	1.528786	1.000000
1.130000	5.955960	2.557571	1.000000
0.500000	6.319691	3.586357	1.000000
1.130000	5.955960	4.615143	1.000000
0.500000	6.319691	5.643928	1.000000
1.130000	5.955960	6.672714	1.000000
0.500000	7.047152	0.500000	1.000000
1.130000	7.410883	1.528786	1.000000
0.500000	7.047152	2.557571	1.000000
1.130000	7.410883	3.586357	1.000000
0.500000	7.047152	4.615143	1.000000
1.130000	7.410883	5.643928	1.000000
0.500000	7.047152	6.672714	1.000000
1.130000	8.138344	0.500000	1.000000
0.500000	8.502075	1.528786	1.000000
1.130000	8.138344	2.557571	1.000000
0.500000	8.502075	3.586357	1.000000
1.130000	8.138344	4.615143	1.000000
0.500000	8.502075	5.643928	1.000000
1.130000	8.138344	6.672714	1.000000
1.760000	0.500000	0.500000	1.000000
2.390000	0.863731	1.528786	1.000000
1.760000	0.500000	2.557571	1.000000
2.390000	0.863731	3.586357	1.000000
1.760000	0.500000	4.615143	1.000000
2.390000	0.863731	5.643928	1.000000
1.760000	0.500000	6.672714	1.000000
2.390000	1.591192	0.500000	1.000000
1.760000	1.954923	1.528786	1.000000
2.390000	1.591192	2.557571	1.000000
1.760000	1.954923	3.586357	1.000000
2.390000	1.591192	4.615143	1.000000
1.760000	1.954923	5.643928	1.000000
2.390000	1.591192	6.672714	1.000000
1.760000	2.682384	0.500000	1.000000
2.390000	3.046115	1.528786	1.000000
1.760000	2.682384	2.557571	1.000000
2.390000	3.046115	3.586357	1.000000
1.760000	2.682384	4.615143	1.000000
